bucket	id	title	en_ratio	en_words	garble	annotation	excerpt
clean	wiki:ig:22377	Christine Apolot	0.0	0	0	mt	Christine Apolot bụ onye nkuzi na onye ndọrọ ndọrọ ọchịchị nke Uganda. Ọ bụ onye ndụmọdụ mpaghara ise(LC5) oche maka Kumi District. A họpụtara ya n'ọkwa ahụ n'ọnwa June 2016.  N'afọ 2021, ọ gbara ọsọ dị ka onye nnọchi anya ụmụ nwanyị nke Kumi District n'okpuru National Resistance Movement party na-a
clean	wiki:ig:46843	Eldren Bailey	0.00139	1	0	mt	"Eldren ""EM"" Bailey (1903-1987) bụ onye omenkà Africa America kacha mara amara maka nnukwu ọkpụkpụ ciment ya, nke ọ na-egosipụtakarị n'ihu ụlọ ya. Amụrụ na Flovilla, Georgia, Bailey nọrọ ọtụtụ ndụ ya na ọrụ ya na Atlanta, Georgia . ""Eldren M. Bailey | Souls Grown Deep Foundation"". www.soulsgrowndeep."
clean	wiki:ig:41010	Global Village Foundation	0.0	0	0	mt	Global Village Foundation ( GVF ) bụ òtù ọrụ ebere na-adịghị akwụ ụgwọ nke na-enye ọzụzụ na nlekọta ahụike maka ụmụaka na ndị obodo ime obodo na Vietnam VietNamNet Bridge, US NGOS active in humanitarian, development domain in VN, June 2007 na ụfọdụ mba ndị ọzọ nke Eshia. Ntọala guzosiri ike na 1999 
clean	wiki:ig:23085	Emma Powell	0.0	0	0	mt	Good Emma Louise Powell bụ onye ndọrọ ndọrọ ọchịchị South Africa bụ onye bụ onye omeiwu (MP) maka Democratic Alliance (DA).  A kpọrọ ya aha dị ka osote minista na-ahụ maka ebe obibi mmadụ, mmiri na ịdị ọcha na kọmitii na-ahụ anya nke Mmusi Maimane na June 2019.  N'ọnwa Disemba na afọr puku abụọ na i
clean	wiki:ig:28259	Edemede juru eju	0.0	0	0	mt	Edemede juru eju bụ okwu iwu ma ọ bụ ụlọ ọrụ na-akọwa ihe ndị dị ka matarasị, àkwà, ihe mkpuchi, ohiri isi, ihe eji egwuri egwu, teddy bea wdg, ya bụ: ihe eji akwa jupụta na ihe na-adịghị arụ ọrụ, ihe siri ike, dị ka ogho, kapok, ma ọ bụ polyurethane ụfụfụ. A na-achọkarị ka ihe ndị dị otú ahụ na-ere
clean	wiki:ig:71892	Taofeek Owonikoko	0.0	0	0	mt	Taofeek Kunle OwonikokoA mụrụ yaNaịjirịaAlma mater  Mahadum Obafemi Awolowo  Ụlọ Ọgwụ Nkụzi Mahadum Lagos  Mahadum Heinrich Heine DüsseldorfỌrụ sayensịỤlọ ọrụMahadum Emory Mahadum Johns HopkinsAkwụkwọ edemedeGenetische Heterogenität na Adenokarzinomen des Ösophagus (2000) Taofeek Kunle Owonikoko bụ 
clean	wiki:ig:36154	Lockdown (ihe nkiri Naijiria nke afọ 2021)	0.0	0	0	human	Lockdown bụ ihe nkiri 2021 na-akpali agụụ mmekọahụ nke Naijiria nke Moses Inwang dere ma duzie ya.  Ihe nkiri a gosiri ndi na-eme ihe nkiri gunyere Omotola Jalade-Ekeinde, Tony Umez na Charles Awurum.  Emepụtara ihe nkiri a site na mmekorita n'etiti ụlọ ọrụ Sneeze Films, FilmOne, iFactory Films na C
clean	wiki:ig:53335	Rebecca Bennett (onye na-eme ihe ọṅụṅụ)	0.00131	1	0	mt	Rebecca Bennett (onye amụrụ Rebecca Reid na 1983) arụwo ọrụ n'ọkwa dị iche iche na Anheuser-Busch InBev, n'oge na-adịbeghị anya dị ka onye isi njikwa dị mma na Baldwinsville, New York. O jikwa ọkwa osote brewmaster (2015-2018) na ụlọ ọrụ Baldwinsville ma bụrụkwa ọkachamara na mmepe ngwaahịa (2010-20
clean	wiki:ig:32239	Nri na-acha anụnụ anụnụ	0.0	0	0	mt	A brush bleb bụ blister na brush nke nwere ike jupụta na serous ma ọ bụ mmiri ọzọ. A na-enwe ọnyà na-acha ọbara ọbara Ọ nwere ike ịbụ pinki ma ọ bụ odo odo. Ọ nwere mgbidi dị warara ma nwee ike ịpụta dị ka obere blister, ihe karịrị 5 mm n'obosara. A pụkwara ịkpọ ya bulla. bulla Ụfọdụ ndị dọkịta nwer
trace	wiki:ig:47283	Howard Sims (onye na-atụpụta ụkpụrụ ụlọ)	0.00372	2	0	human	Howard Francis Sims, FAIA(1933–2016), bụ onye America na-ese ụkpụrụ ụlọ, onye ọchụnta ego, na onye enyemaka, na-arụ ọrụ na Detroit.  Ọ tọrọ ntọala ụlọ ọrụ ihe owuwu SDG Associates (nke bụbu Howard Sims & Associates, na emesia Sim–Varner).   Sims nyere aka chepụta koodu owuwu mbụ steeti Michigan. Ọ b
trace	wiki:ig:45164	Ihe mmeri	0.00376	1	0	mt	Winsom ( mmalite 1946) [1] bụ onye Canada- Jamaican Maroon onye na-ese mgbasa ozi ọtụtụ ihe na-arụ ọrụ na akwa, ngwaọrụ, vidiyo, nrụnye, na nwa nwa.  [2] Ụbọchị ya na-egosi ọnọdụ ime echiche    Akiri Winsom na 1946 na Jamaica, [1] ebe ọ akwụkwọ akwụkwọ na Jamaica School of Art .  [2] Ọ kwagara Canad
trace	wiki:ig:44489	Hocine Zaourar	0.00692	2	0	unclear	"Hocine Zaourar (amụrụ na 18 Disemba 1952),  nke a makwaara site na aha Hocine, bụ onye Algeria na-ese foto. Foto ya nke nwanyị na-eru uju mgbe ogbugbu Bentalha gasịrị na Algeria, nke a kpọrọ ""Madonna nke Bentalha"", meriri foto presi is nke afọ na nrite Bayeux Calvados-Normandy maka ndị nta akụkọ agh"
trace	wiki:ig:18390	Tabu Ley Rochereau	0.00556	6	0	mt	Pascal-Emmanuel Sinamoyi Tabu (13 Nọvemba 1940), nke a maara nke ọma dị ka Tabu Ley Rochereau, bụ onye isi na-agụ egwú rumba na onye na-ede egwú si Democratic Republic of the Congo.. Rumba on the River. Cold Run Books. Archived from  on 2012-07-06. Ọ bụ onye ndú nke Orchestre Afrisa International, y
trace	wiki:ig:16801	Xoli Zondi	0.00565	2	0	unclear	"Xolisile ""Xoli"" Zondi (amụrụ na 17 Septemba 1983), nke a makwaara dị ka Xoli Zondi-Zamisa, bụ onye South Africa na-eme ihe nkiri na onye nlereanya. A maara ya nke ọma maka ọrụ ya na usoro nkiri telivishọn Family Bonds, Generations na Single Galz.   Ndụ onwe  A mụrụ Zondi na 17 Septemba 1983 na Hamme"
trace	wiki:ig:16305	Charmaine Mujeri	0.00575	1	0	unclear	Charmaine Mujeri bụ onye na-eme ihe nkiri na mba Zimbabwe. N'afọ 2020, a họpụtara ya maka onye na-akwado ihe nkiri kachasị mma na Africa Movie Academy Awards .    Ihe nkiri  Mujeri bụ onye na-eme ihe nkiri n'afọ 2017 Harare International Festival of the Arts . N'afọ 2019, ọ pụtara n'egwuregwu, Ruvaj
trace	wiki:ig:40066	S.P.I.T.: Squeegee Punks in Traffic	0.00847	1	0	mt	"SPIT: Squeegee Punks in Traffic bụ ihe nkiri Canada 2001 nke Daniel Cross dere .  Akụkọ ahụ na-ahụ site n'echiche nke squeegee .   Onye isi agwa, ""Roach,"" mechara bụrụ onye ntụzi akwụkwọ ndị EyeSteelFilm dị ka Eric ""Roach"" Denis .   nnabata  Ntụleghachi dị mma na TV kwuru, ""Ọ bụghị naanị ihe nkiri a"
trace	wiki:ig:45204	Samuel Robin Spark	0.00688	4	0	mt	"Samuel Robin Spark (9 Julaị 1938 - 6 Ọgọst 2016) bụ onye omenkà Scotland. Ọ bụ nwa nwoke Sidney Oswald Spark na onye edemede Muriel Spark . Lodge, David (19 August 2010). ""The Prime of Muriel Spark"". [Review of the book Muriel Spark: The Biography, by Martin Stannard]. New York Review of Books 57(13"
trace	wiki:ig:11510	Murphy Ijemba	0.00485	1	0	human	Murphy Ijemba bụ onye ọrụ redio Naijiria na-akwado ihe ngosi RUSH HOUR na 97.7 METRO FM.  Ka ọ dị ugbu a, ụdị ịgbachite anya redio ya enwetala ya ọtụtụ nhọpụta na nkwanye ugwu na mmemme inye onyinye na Naịjirịa.     Ndụ mmalite na agụmakwụkwọ  Ọ bụ onye Igbo .  Amụrụ ya na Mushin, dịpụrụ adịpụ na Le
trace	wiki:ig:53494	Ihe Ncheta Agatha Christie	0.00656	2	0	unclear	Ihe Ncheta Agatha Christie  Ihe Ncheta Agatha Christie bụ ihe ncheta maka onye edemede na onye na-ede egwuregwu Agatha Chrisgie, nke dị na nkwonkwo nke Cranbourn Street na Great Newport Street site na St Martin's Cross nso Covent Garden, na London, United Kingdom.   Nkọwa na akụkọ ihe mere eme  Ihe 
trace	wiki:ig:52905	Florence Stacpoole	0.00417	1	0	unclear	Florence Stacpoole (1850 – 2 Disemba 1942) bụ onye ode akwụkwọ lekwasịrị anya na ahụike na mmefu ego.   Akụkọ ndụ  Florence Stacpoole bụ ada Rev. William Church Stacpoole na Charlotte Augusta Mountjoy . A mụrụ ya na Dublin na 1850.  Nna ya bụ dean nke Kingstown na dọkịta nke chi na Trinity College D
trace	wiki:ig:47614	Herbert Abrams	0.00601	3	0	mt	thumb|Herbert E Abrams  Herbert E. Abrams (March 20, 1921 – Ọgọst 29, 2003) bụ onye omenkà America.  Ọ bụ otu n'ime ndị na-ese ihe osise nke oge ya nke a ma ama maka ụdị omenala ya.  Ụbọchị ya nkiri ihe ndị ọrụ White House nke ndị isi oche mbụ Jimmy Carter na George HW Bush .  N'oge ọrụ nke, ọ na-es
trace	wiki:ig:26303	Mmetọ ikuku nke ezinụlọ	0.00363	19	0	mt	"300x300px|Nkewa nke ndị nwụrụ site na mba site na mmetọ ikuku n'ụlọ na 2017. Mmetọ ikuku n'ụlọ bụ ụdị dị ịrịba ama nke mmetọ ikuku n""ime ụlọ nke na-emetụta usoro isi nri na usoro okpomọkụ eji eme ihe na mba ndị na-emepe emepe. Ebe ọ bụ na a na-eji mmanụ dị ndụ eme ọtụtụ nri, n'ụdị osisi, icheku ọkụ,"
trace	wiki:ig:18570	Noko Matlou	0.0059	2	0	mt	Noko Alice Matlou (amụrụ n'abalị iri atọ n'ọnwa Septemba n'afọ 1985) bụ onye na-agba bọọlụ na South Afrika nke na-agba bọọlụ dị ka onye na-eme egwuregwu maka ndị otu Spanish Segunda División Pro SD Eibar. Ọ nọchitere anya ndị otu ụmụ nwanyị nke mba South Africa ma dị ka onye na-agba ọsọ ma onye na-e
trace	wiki:ig:77350	Austin Okezie Meregini	0.00599	1	0	human	Austin Okezie Meregini  (nke a makwaara dị ka Ugolee) bụ onye ndọrọ ndọrọ ọchịchị na onye omeiwu Naijiria nke na-eje ozi dị ka osote onye isi oche nke Steeti Abịa House of Assembly, na-anọchite anya Umuahia East State Constituency .  Ọ bụ onye otu Labour Party.   Ọrụ ndọrọ ndọrọ ọchịchị  A họpụtara 
trace	wiki:ig:55000	Farooque Ahmed	0.00945	6	0	unclear	Farooque Ahmed ( amuru ya na1976) o bu onye Paskitani- American si n'obodo Ashburn, Virginia onye ndi nchoputa nke Federal Bureau jidere maka ikpu bombu na Washington Metro Stations no na Arlington Cemetery, Pentagon City, Crystal City na Court House .  </ref> E boro ya ebubo na ọ na-anwa inye nkwad
trace	wiki:ig:30022	Tractor Al-Ghazi	0.00613	1	0	mt	Al-Ghazi Tractors Ltd (AGTL) (Urdu) bụ onye na-emepụta igwe ọrụ ugbo nke Pakistan nke nwere isi na Karachi n' ụlọ ọrụ na-emepụta traktọ dị na Dera Ghazi Khan, Pakistan. Ọ bụ onye na-emepụta traktọ New Holland na Pakistan n' ikike mmepụta nke 30,000.  Al-Ghazi Tractors bụ otu n' ime ndị isi abụọ na-e
trace	wiki:ig:77609	Osimiri Semliki	0.00364	3	0	mt	thumb|Ihe a na-ahụ n'elu Osimiri Semliki Osimiri Semliki (French: Rivière Semliki) bụ nnukwu osimiri, 140 kilomita (87 mi) n'ogologo,  na Democratic Republic of the Congo (DRC) na Uganda na Central na East Africa. Ọ na-asọba n'ebe ugwu site na Lake Edward na Beni Territory, Nord-Kivu, DRC na-ezere U
trace	wiki:ig:47193	Debra Bermingham	0.00455	2	0	mt	Debra Bermingham bụ onye omenkà America mara maka ihe nkiri ime ya na ndụ ya.    Akụkọ ndụ  Debra Pandell Bermingham na Northampton, Massachusetts na Septemba 18, 1953. [1] Ọ ike akwụkwọ na Mahadum Washington, Seattle, na Mahadum Cornell na Ithaca, New York     O nweere nkuzi na Mahadum Washington, 
trace	wiki:ig:40397	Ndị na-ahụ maka asọmpi na nchịkwa nke Channel Islands	0.0033	1	0	mt	Asọmpi Channel Islands na ndị na-achịkwa-achịkwa ( CICRA ) bụ aha ndị isi njikwa Jersey na ndị Guernsey Competition and Regulatory Authority, nke na-arụ ọrụ na Bailiwick nke Guernsey na Bailiwick nke Jersey na Channel Islands .  CICRA dị site na 2010 ruo 2020: ndị dị iche Guernsey na Jersey na-arụ ọ
trace	wiki:ig:75383	Ryan Alebiosu	0.00285	1	0	unclear	Ryan Fiyinfoluwa Alebiosu  (amụrụ na 17 Disemba 2001) bụ onye na-agba bọọlụ nke na-agba ọsọ dị ka onye na-azụ azụ aka nri maka otu EFL Championship Blackburn Rovers . A mụrụ ya n'England, ọ na-anọchite anya Naịjirịa na mba ụwa.   Ọrụ klọb  Ọ bịanyere aka na mgbazinye ego maka otu EFL League One Crew
trace	wiki:ig:17545	Lizzie Wilkerson	0.00437	1	0	human	Lizzie Wilkerson (1895-1984) bụ onye America na-ese ihe nkírí nke a maara màkà ihe osise nke gosipụtara ndụ ya n'ugbo.   Akụkọ ndụ  A mụrụ ya Lizzie Henderson na nso Covington, Georgia, nwa ikpeazụ n'ime ụmụ irí abụọ na otu. N'afọ 1919, ọ lụrụ Dewey Wilkerson, ónyé na-arụzi ụgbọala, wee kwaga Atlant
trace	wiki:ig:41397	Osisi Oak Ochie	0.00806	4	0	mt	Ochie Oak bụ ihe nkiri nkiri 2023 nke Ken Loach duziri nke Paul Laverty dere.  Ọ bụ ihe n'etiti United Kingdom, France na Belgium.  Mgbe Mario ụwa ya na 2023 Cannes Film Festival, ebe ọ na-awụmpi maka Palme d'Or, e mmetụta ihe nkiri ahụ na United Kingdom na 29 September 2023, site na StudioCanal .  
trace	wiki:ig:15612	Strijdom van der Merwe	0.00885	5	0	mt	Strijdom van der Merwe (amụrụ n'afọ 1961) bụ onye na-ese ihe na South Africa nke na-eji ihe ọ chọtara na saịtị ahụ mepụta ọrụ nka ya. Ihe ndị o ji rụọ gụnyere ájá, mmiri, osisi, nkume na nkume. Site n'ịkpụzi ihe ndị a n'ụdị geometric, ọ na-ejikọta ọdịiche dị n'etiti ọrụ nka na gburugburu ebe obibi, 
trace	wiki:ig:56629	Usoro ọdịnala	0.00654	5	0	mt	áká_ịkẹngạ|thumb|onwa na-agụ egwú na-eji onavillu, nke ejiri igwe okwu mee ka ọ dịkwuo elu. A na-enyefe Egwú ọdịnala na arụmọrụ; n'ihi ya, ọ na-agbanwe na mmasị ndị na-ege ntị na teknụzụ dịnụ. N'ọmụmụ ihe gbasara akụkọ ifo, usoro ndị mmadụ bụ ụzọ e si agbanwe ihe ndị mmadụ, ọkachasị akụkọ, egwu, na 
moderate	wiki:ig:54475	Zahra Nemati	0.02363	19	0	unclear	Zahra Nemati ( Persian   amuru 30 Eprel 1985) bu onye Iranian Paralympic na onye igba olimpik. Na mbụ ọ na-asọ mpi taekwondo tupu ahụ kpọnwụrụ ya n'ihe mberede ụgbọ ala. N'egwuregwu Paralympic Summer nke afọ 2012 ọ meriri nrite abụọ, ọla edo n'otu n'otu na ọla kọpa otu. O tozuola ịsọ mpi n'egwuregwu
moderate	wiki:ig:11057	Leeanda Reddy	0.01417	9	0	mt	Category:Articles with hCards  Leeanda Antoinette Reddy, bụ onye ome Ihe nkiri  South Africa . A maara ya nke ọma maka ọrụ ya na usoro n'ewu ewu bụ Cape Town, Scandal! na Isidingo .    Ndụ onwe onye  A mụrụ ya na Durban, South Africa. Ọ nọrọ oge nwata ya na obodo Chatsworth na Phoenix na Durban. Ọ g
moderate	wiki:ig:53339	Adela Demetja	0.01178	15	1	human	Adela Demetja Adela Demetja (amụrụ n'afọ 1984 na Tiranë) bụ onye na-ahụ maka nka na Albania.  Adela Demetja bụ onye nlekọta, onye njikwa ọdịbendị, onye na-emepụta ihe na onye na-agba ọsọ ụlọ akwụkwọ si Tirana, na-arụ ọrụ na South East Europe na West Europe. Kemgbe afọ 17 ọ nọ na-amalite ma na-ahazi 
moderate	wiki:ig:15951	Michael Bolus	0.02979	21	0	mt	Category:Articles with hCards A mụrụ ya na South Africa, Michael Edward Bolus bụ onye na-ese ihe na onye nkuzi nke biri na England n'afọ 1957 wee gụọ akwụkwọ na St Martin's School of Art site na 1958 ruo 1962, na-amụ ihe n'okpuru Anthony Caro. Mgbe o biri obere oge na Cape Town, ọ laghachiri London 
moderate	wiki:ig:38986	N'ihi ya, ọ bụ n'oge a ka a na-akpọ Makunga	0.01442	3	0	human	Nwabisa Makunga (amụrụ 1982) bụ onye odeakụkọ South Africa na onye nchịkọta akụkọ. Ọ bụ onye nchịkọta akụkọ nke Sowetan .    Ndụ  A mụrụ Makunga na Uitenhage . Nne ya bụ nwa akwụkwọ sekọndrị n'oge ahụ, ọ zụlitere ya site na nne na nna nna ya, onye isi ụlọ akwụkwọ na onye na-arụ ọrụ na-acha anụnụ anụ
moderate	wiki:ig:48259	Edward Corbett (onye na-ese ihe)	0.01735	8	0	mt	Edward Corbett (August 22, 1919 - June 6, 1971) bụ onye omenkà Abstract Expressionist America.   Akụkọ ndụ  Corbett dị na Chicago, Illinois, nye John Leland Corbett na Laura Corbett.  Nna ya nọ n’òtù ndị agha, n’ihi ya, ahụ na-akwagakarị.  Corbett biri na Virginia, Washington, DC, Texas, Manilla na 
moderate	wiki:ig:39463	Ophelia Clenlans	0.02114	10	0	human	"Ophelia Clenlans (ihe dị ka  - Febụwarị 12, 1907) bụ onye na-akwado ikike obodo na onye nta akụkọ si Omaha, Nebraska.   Akụkọ ndụ  A mụrụ Clenlans ohu n'ihe dịka 1841 na Platte County, Missouri, wee bịa Omaha. Clenlans lụrụ Emanuel S. Clenlans ma ha nwere otu nwa nwanyị, Laura (aha lụrụ Craig). ""Pro"
moderate	wiki:ig:25830	Saddiq Dzukogi	0.02123	9	0	human	Saddiq Dzukogi (amụrụ na Minna) bụ onye Naijiria na-ede uri na osote prọfesọ na Ngalaba Bekee nke Mahadum Steeti Mississippi . Ọ bụ onye dere Your Crib, My Qibla, nchịkọta uri a ma ama nke mere ka o nweta onyinye Derek Walcott nke 2022 maka uri, na onyinye Julie Suk nke 2021 dị ka onye mmeri. E depụ
moderate	wiki:ig:34217	Bello Hayatu Gwarzo	0.01672	5	0	mt	Bello Hayatu Gwarzo (amụrụ n'abalị iri na anọ n'ọnwa Eprel n'afọ 1960) bụ onye ndọrọ ndọrọ ọchịchị Naijiria bụ onye otu Senate Onye Naijiria site n'afọ 1999 ruo n'afọ 2015. . National Assembly of Nigeria. Archived from the original on 3 March 2016. Retrieved 16 September 2009. bụ onye isi oche Senat
moderate	wiki:ig:31116	Tolu Olukayode Odugbemi	0.01024	3	0	mt	.   Tolu Olukayode Odugbemi NNOM, OON (amuru 30 Jenuarrị 1945) bu onye Naijiria prọfesọ nke Medical Microbiology, onye-ahọọ nhọrọ na onye bụbu osote onye isi oche nke Mahadum Lagos, Nigeria .  [1] [2] Ọ bụ osote onye isi nke akara nke Mahadum Lagos   Agụmakwụkwọ  . Ọ akwụkwọ akwụkwọ elementrị na Emm
moderate	wiki:ig:27276	Hennric David Yeboah	0.01789	9	0	unclear	Hennric David Yeboah (1957 - 1 Machị 2019) bụ onye ọchụnta ego na onye ndọrọ ndọrọ ọchịchị Ghana nke Republic of Ghana . Ọ bụ onye omeiwu na-anọchite anya Afigya Sekyere East nke Ashanti Region nke Ghana na 4th, 5th, na 6th Parliament nke 4th Republic of Ghana. Ọ bụ onye otu New Patriotic Party.   M
moderate	wiki:ig:58773	Ebere Myra	0.01003	3	0	unclear	"Mercy Myra Grundberg, nke a maara nke ọma dị ka Mercy Myla, bụ onye egwu R&B si Kenya.   Akụkọ ndụ  Na 1996, o sonyeere Calabash Band mana hapụrụ ya n'afọ na-abịa isonye na R&B otu Destinee na 1997 ọ sonyeere otu egwu akpọrọ Black Ice. Ọ tụgharịrị solo wee wepụta nke mbụ ya ""Sitaki"" (nke gosipụtara "
